datetime,close,high,low,open,vol,obv,rsi,atr,macd
2024-02-13 13:10:00,494.35999,494.38000,494.01999,494.19000,572369,168129830.00000,37.92625,0.39682,-0.37683
2024-02-13 13:05:00,494.19989,494.25000,494.04999,494.14999,653127,167557461.00000,34.34304,0.39966,-0.38172
2024-02-13 13:00:00,494.14999,494.35999,494.06000,494.32001,506814,166904334.00000,33.22755,0.41501,-0.36612
2024-02-13 12:55:00,494.32999,494.42999,494.14999,494.38000,628363,167411148.00000,35.23264,0.42386,-0.33580
2024-02-13 12:50:00,494.37000,494.98001,494.35999,494.78000,523348,168039511.00000,35.67700,0.43493,-0.31054
2024-02-13 12:45:00,494.79001,495.26501,494.78000,495.22000,373296,168562859.00000,40.67825,0.42069,-0.27786
2024-02-13 12:40:00,495.22501,495.31000,495.10001,495.23999,306297,168936155.00000,47.01667,0.41574,-0.27487
2024-02-13 12:35:00,495.23001,495.26999,494.95999,495.13501,377181,169242452.00000,47.09507,0.43157,-0.31135
2024-02-13 12:30:00,495.13501,495.19501,494.51999,494.51999,621339,168865271.00000,45.49305,0.44092,-0.35388
2024-02-13 12:25:00,494.51999,494.84000,494.39999,494.82999,529087,168243932.00000,33.36301,0.42291,-0.39336
2024-02-13 12:20:00,494.82501,495.01999,494.78000,494.92001,593011,168773019.00000,37.17273,0.42160,-0.37540
2024-02-13 12:15:00,494.91000,495.10999,494.85001,494.89999,634118,169366030.00000,38.30444,0.43557,-0.37807
2024-02-13 12:10:00,494.89999,494.89999,494.57501,494.78000,467746,168731912.00000,38.09834,0.44907,-0.38464
2024-02-13 12:05:00,494.78000,495.06000,494.66000,495.04999,493377,168264166.00000,35.70757,0.45862,-0.38640
2024-02-13 12:00:00,495.06000,495.15009,494.92001,495.07999,569442,168757543.00000,38.96863,0.46313,-0.37082
2024-02-13 11:55:00,495.08990,495.25500,494.97000,495.19049,595475,169326985.00000,39.32483,0.48106,-0.37405
2024-02-13 11:50:00,495.19019,495.72000,495.16000,495.68991,856866,169922460.00000,40.47682,0.49614,-0.37577
2024-02-13 11:45:00,495.68500,495.82669,495.60999,495.72000,339817,170779326.00000,46.75189,0.49123,-0.38271
2024-02-13 11:40:00,495.73001,495.85001,495.51999,495.76999,744208,171119143.00000,47.37226,0.51234,-0.43638
2024-02-13 11:35:00,495.76099,495.79999,495.39001,495.51999,1039979,171863351.00000,47.77737,0.52637,-0.50313
2024-02-13 11:30:00,495.52499,495.67999,495.22000,495.57001,1066802,170823372.00000,44.41458,0.53532,-0.58415
2024-02-13 11:25:00,495.57010,495.73001,495.45001,495.51999,560391,171890174.00000,44.92803,0.54112,-0.65505
2024-02-13 11:20:00,495.53000,495.73999,495.17999,495.17999,689470,171329783.00000,44.39738,0.56120,-0.74060
2024-02-13 11:15:00,495.17999,495.45001,495.03000,495.32001,724209,170640313.00000,39.68728,0.56129,-0.83493
2024-02-13 11:10:00,495.31201,495.50500,495.24011,495.42001,528646,171364522.00000,40.90079,0.57216,-0.90756
2024-02-13 11:05:00,495.42999,495.53000,495.07999,495.21500,884978,171893168.00000,41.96561,0.59580,-1.00050
2024-02-13 11:00:00,495.13000,495.19501,494.56000,494.57001,603178,171008190.00000,38.16470,0.60701,-1.11659
2024-02-13 10:55:00,494.56000,495.10901,494.51941,495.10501,1107453,170405012.00000,30.08565,0.60486,-1.21797
2024-02-13 10:50:00,495.19989,495.25900,494.79001,495.05499,972529,171512465.00000,34.82927,0.59904,-1.27162
2024-02-13 10:45:00,495.04999,495.23999,494.91000,495.13000,858376,170539936.00000,32.51467,0.60904,-1.38675
